commentor,comments,news
>Joseph Chaplin,">Cannot believe they booked this match. Absolutely huge. I understand that they want to have the tag belts main event a show, but this as a special singles definitely feels like a main event in either. Also, Zack the God-tier promo guy has been unreal in 2018.",">""I'll tell you who I want. I want Disco Pants, Okada. I don't care if he's champion or not. When New Japan comes to the UK, Strong Style Evolved, I don't care if it's Milton Keynes or Manchester. Championship match or not, I'm gonna humiliate Kazuchika Okada in my home country, and then, I'm gonna do it in Japan."""
>Andy Peck,">My thoughts; if they do a joint show with NJPW it will do well. Or, they are running the MSG Theatre",">""I'll tell you who I want. I want Disco Pants, Okada. I don't care if he's champion or not. When New Japan comes to the UK, Strong Style Evolved, I don't care if it's Milton Keynes or Manchester. Championship match or not, I'm gonna humiliate Kazuchika Okada in my home country, and then, I'm gonna do it in Japan."""
>Dominic Cotone,>Has ROH lost their minds? They can't even properly light the small venues they work now let alone MSG or be able to fill the seats. I love ROH but wtf,">""I'll tell you who I want. I want Disco Pants, Okada. I don't care if he's champion or not. When New Japan comes to the UK, Strong Style Evolved, I don't care if it's Milton Keynes or Manchester. Championship match or not, I'm gonna humiliate Kazuchika Okada in my home country, and then, I'm gonna do it in Japan."""
>New Japan Pro News Feed - English,>I still don't understand how AAA his going to fill MSG,">""I'll tell you who I want. I want Disco Pants, Okada. I don't care if he's champion or not. When New Japan comes to the UK, Strong Style Evolved, I don't care if it's Milton Keynes or Manchester. Championship match or not, I'm gonna humiliate Kazuchika Okada in my home country, and then, I'm gonna do it in Japan."""
>Jeff Anderson,>I’d like to see the GOD and Fale come out and beat the crap out of both of them declaring them both out of the Bullet Club,">""I'll tell you who I want. I want Disco Pants, Okada. I don't care if he's champion or not. When New Japan comes to the UK, Strong Style Evolved, I don't care if it's Milton Keynes or Manchester. Championship match or not, I'm gonna humiliate Kazuchika Okada in my home country, and then, I'm gonna do it in Japan."""
>Nick Zalinka,>This does not clear up who the real leader of the bullet club is.,">""I'll tell you who I want. I want Disco Pants, Okada. I don't care if he's champion or not. When New Japan comes to the UK, Strong Style Evolved, I don't care if it's Milton Keynes or Manchester. Championship match or not, I'm gonna humiliate Kazuchika Okada in my home country, and then, I'm gonna do it in Japan."""
>Christopher Lawrence,">Jericho needs to work out alittle bit more, he got a muffin top going on and I don't like it.",">""I got asked to do Long Beach--I said no. I got asked to do Cow Palace--I said no. I got asked to do ALL IN--I said no. I don't wanna do that. You should see how many indy promoters have contacted me. "
>Will James,">Chris has a right to feel this way. He worked everything out with Vince so he could do Japan and then come and go to WWE as he pleases, where he is basically over forever there.",">""I got asked to do Long Beach--I said no. I got asked to do Cow Palace--I said no. I got asked to do ALL IN--I said no. I don't wanna do that. You should see how many indy promoters have contacted me. "
>Chase Stites,>Tanahashi and Rey are mama and papa and Liger is their precious baby boi,">""This is the first time all three of us worked together. The chemistry was unbelievable! So I think, as partners, all three, we can take some titles here in New Japan."""
>Alison Francis Gautreaux,>I love Rey's mask!;),">""This is the first time all three of us worked together. The chemistry was unbelievable! So I think, as partners, all three, we can take some titles here in New Japan."""
>Abe Haynes,>I love the honor and respect shown to the IWGP championship by NJPW stars. It is certainly the most prestigious in my opinion,">""This is the first time all three of us worked together. The chemistry was unbelievable! So I think, as partners, all three, we can take some titles here in New Japan."""
>Matthew McLernon,>When AJ Styles is WWE champion and Kenny Omega is IWGP champion ,">""This is the first time all three of us worked together. The chemistry was unbelievable! So I think, as partners, all three, we can take some titles here in New Japan."""
>David R. Barker,>WWE Is 10x Better Then This,">""This is the first time all three of us worked together. The chemistry was unbelievable! So I think, as partners, all three, we can take some titles here in New Japan."""
>Jacob Marez,>Okada vs Jericho please !!!!! And wwe fans stop wanting him to show up with the title I’m sick of seeing that he’s with New Japan for now deal with it,">""This is the first time all three of us worked together. The chemistry was unbelievable! So I think, as partners, all three, we can take some titles here in New Japan."""
>Danowar Healy,>Omega can get revenge for Supercard and get one defence out of the way  straight away,">""This is the first time all three of us worked together. The chemistry was unbelievable! So I think, as partners, all three, we can take some titles here in New Japan."""
>Zaire Lane,>Danowar Healy nah i see kenny dropping at wk,">""This is the first time all three of us worked together. The chemistry was unbelievable! So I think, as partners, all three, we can take some titles here in New Japan."""
>Dominic Cotone,">I dunno why but I'm just not into this feud very much.. guess I'm just not big on Cody in the ring, feel like Kenny is miles and miles ahead of him.  But Cody exceeds at the charisma and showmanship and promotional side... so prolly a good balance between the two.  This'll be fun",">""This is the first time all three of us worked together. The chemistry was unbelievable! So I think, as partners, all three, we can take some titles here in New Japan."""
>Alex Ziegler,>Cody v Omega at the dome,">""Cody, I'm through hating you.... I respect you."
>New Japan Pro News Feed - English,>No not yet. Cody said on Twitter that he is working on a project which will make him unavailable to be in Japan for all those G1 dates.,">""Cody, I'm through hating you.... I respect you."
>New Japan Pro News Feed - English,>Too bad he crumpled it up at the end.,">""Cody, I'm through hating you.... I respect you."
>Ryan Beecher,>But what’s next for Okada in New Japan?? Seriously what’s left to do when you basically became one of the greatest world champions in Japan and broke every record in New Japan?,">Thank you, Okada. "
>New Japan Pro News Feed - English,>I would have Jay drop the US title quickly and then challenge Okada for control of CHAOS.,">Thank you, Okada. "
>New Japan Pro News Feed - English,>If it walks like a bootlicker and talks like a bootlicker...,">Thank you, Okada. "
>Shane McKeage,>Just two Canadians ruling Japan.,">Drink it in, man."
>Joseph Carrino,>I'm a new Japan kind of guy but these two guys smiling together is damn stupid...no matter how Vince exposed the business how about being little smarter about things then putting pics like this...I think being under the WWE umbrella has effected Jericho's brain!!!,">Drink it in, man."
>Charlie Wilson,>I really took the intro video to mean Kenny was no longer in Bullet Club.,">It's official: ""The Golden Elite"""
>Nazrul Harizal,>Come on tama its time to lead bullet club,">It's official: ""The Golden Elite"""
>Jack Albert Cox,">I don't usually watch many New Japan shows live unless it's the G1 or WK but I watched it today and all I can say is holy shit, the only way WWE will have a show that's equal to or better than Dominion at MITB they have to turn back time and buy NJPW so the show never takes place",">It's official: ""The Golden Elite"""
>Morgan Williams,>Shame on New Japan for making a Comedy wrestler like Omega Champion. All that work Okada put in and He's replaced by a fool. Hopefully this mistake doesn't last long.,>I'm foreseeing all 3 top IWGP Singles Championships changing hands at Dominion! That means I'm probably wrong. Ha!
>John Brown,>Yeah you’re wrong cause Naito is winning,>I'm foreseeing all 3 top IWGP Singles Championships changing hands at Dominion! That means I'm probably wrong. Ha!
>New Japan Pro News Feed - English,">Jericho has a busy schedule but that doesn't mean he can't do 2-4 more dates between now and January. If they're okay with Naito not even carrying the title, why would they care about Jericho having it for 6 months? The international visibility would be tremendous. And we're not talking about just anyone, Jericho knows Gedo and Gedo knows Jericho.",>I'm foreseeing all 3 top IWGP Singles Championships changing hands at Dominion! That means I'm probably wrong. Ha!
>New Japan Pro News Feed - English,">Just too soon to put the belts on the Young Bucks IMO. I'd rather have them win the WTL, and then the belts at WK.",>Who wins the heavy IWGP Tag Team Championship at Dominion?
>Tristan Peters,>As much as i'd like to see LIJ retain. Kind of want a GBH vs Young Bucks match now lol,>Who wins the heavy IWGP Tag Team Championship at Dominion?
>New Japan Pro News Feed - English,>Froat = throat + English accent,">""You see, Tanahashi! A LEGEND. The ACE of New Japan. Well Tanahashi, I've got news for ya, if I have to go through you, to get to the TOP of New Japan Pro Wrestling, that's exactly what I'm gonna do. Cuz I'm gonna TEAR your athletic tape off your shoulder! I'm gonna TEAR that stupid straight hair from your head! Then I'm gonna shove it down your froat! Do you know WHY? Because you've been shoved down everyone's froats FOR TEN YEARS NOW. TEN FREAKIN YEARS AND I FOR ONE AM SICK AND TIRED OF IT!"""
>Ricardo Filho,>Change Tanahashi for cena and you have the same heel promo that indie guy cuts on cena on wwe lol,">""You see, Tanahashi! A LEGEND. The ACE of New Japan. Well Tanahashi, I've got news for ya, if I have to go through you, to get to the TOP of New Japan Pro Wrestling, that's exactly what I'm gonna do. Cuz I'm gonna TEAR your athletic tape off your shoulder! I'm gonna TEAR that stupid straight hair from your head! Then I'm gonna shove it down your froat! Do you know WHY? Because you've been shoved down everyone's froats FOR TEN YEARS NOW. TEN FREAKIN YEARS AND I FOR ONE AM SICK AND TIRED OF IT!"""
>Zaire Lane,">Imagine if Jericho wins then loses it in the main event of the usa show, that's how you can boost ticket sales....",>Who is IWGP Intercontinental Champion after Dominion?
>Jake Betts,>Translation: Give me belt plz ,">""My only appearance came in the final show on this tour. Well, now I'm finally beginning to understand what is going on with Best Of The Super Juniors. If you look at my weight, I'm considered a junior-heavy weight. But I want to face both, Juniors and Heavyweights, whenever. I want to have title matches."""
>Saquif Azmain,>Ospreay vs Ibushi! PLEASE MAKE IT HAPPEN!,">""My only appearance came in the final show on this tour. Well, now I'm finally beginning to understand what is going on with Best Of The Super Juniors. If you look at my weight, I'm considered a junior-heavy weight. But I want to face both, Juniors and Heavyweights, whenever. I want to have title matches."""
>David Spinosa,>what show is this from?,>WELL DONE!
>Samuel Clearwater,>Age is just a number for Liger.,>WELL DONE!
>Italo Mateus Trivisan,">I hate to see people saying that ""Kenny needs this"" or that ""there's no reason for Okada to retain"". Dude, the level of storytelling AND great wrestling here is INSANE. Just sit down and enjoy the show. The belt isn't everything, and its importance is storytelling wise. Y'all care too much about the results. Just trust New Japan, will ya? I'm sure you won't regret. They're good at this.",>Who wins the IWGP Heavyweight Championship at Dominion?
>Oscar Mendez,>Kenny has to win. Unless it's to introduce or bring back a major player there is no reason for Okada to retain.,>Who wins the IWGP Heavyweight Championship at Dominion?
>New Japan Pro News Feed - English,>Kenny could also win G1 and name Ibushi his challenger.,>Who wins the IWGP Heavyweight Championship at Dominion?
>Shaun Simmons,>Cody leaving was the best choice. Fuck WWE. Never go back. Look at the joke they have turned Nakamura in to.,>Who wins the IWGP Heavyweight Championship at Dominion?
>Mark Carr,>Glad to see someone escape “the machine” &amp; make it on his own terms.,>Who wins the IWGP Heavyweight Championship at Dominion?
>Dell Nell,>Not a big fan but I'm happy Jenison giving it his all. Respecting wrestling outside of wwe or old wcw and thinking that they don't need to work hard. I wast the roh NYC he was great on working the crowd.,>Who wins the IWGP Heavyweight Championship at Dominion?
>Marie-danielle O'reilly,">Very interesting article, teacher Sean! Thank you!",>What do you think of the colour pink?
>Marie-danielle O'reilly,">I love that story , teacher Sean. I wouldn’t be scared because I know how to swim. But, I am claustrophobic.",>How scary would it be to be trapped in a cave?
>BreakingNewsEnglish,>I think it would be terrifying - the poor children can't see - it's pitch black. Praying for their safe rescue.,>How scary would it be to be trapped in a cave?
>Marie-danielle O'reilly,>Bravo China!,>Do movie stars deserve to get multi-million-dollar salaries?
>Demmy Andrio,">No, they don't....scientists, academics, researchers, doctors, astronauts, pilots, teachers ",>Do movie stars deserve to get multi-million-dollar salaries?
>Marie-danielle O'reilly,">But, I still think I probably prefer ( Earth)",>What would it be like to live in space?
>BreakingNewsEnglish,>Me too. Perhaps a holiday in space would be nice.,>What would it be like to live in space?
>Sandy  Sandy,">Hi. Thank you for creating this useful website for us learning English. It's brilliant! I not only learn interesting latest things in the world, but also do the different exercises to improve my English. My favourite exercises are The/An/A, prepositions and listen &amp; spelling. Now I am trying to do the challenge one - the dictation, especially the big one!",>What would it be like to live in space?
>Marie-danielle O'reilly,">A very sad truth,teacher Sean!",>What should world leaders do about the refugee crisis?
>BreakingNewsEnglish,>Marie-danielle O'reilly You would make better decisions than most world leaders. Marie for President ,>What should world leaders do about the refugee crisis?
>Marie-danielle O'reilly,">Thank you, teacher Sean! This one made me laugh...We are human...",>How can we stop people upskirting?
>Rosa-Maria Llavoré,">According to Ayurveda, we become adults at the age of 60.",>When do we become adults?
>BreakingNewsEnglish,>Yippee. I'm still a child ,>When do we become adults?
>Marie-danielle O'reilly,">No , because they are going to start the war again. Both men are liars.",>Do President Trump and Chairman Kim Jong-un deserve a Nobel Peace Prize
>BreakingNewsEnglish,>I think we have to keep our fingers crossed that something positive will come of this. It's certainly a huge step forward.,>Do President Trump and Chairman Kim Jong-un deserve a Nobel Peace Prize
>Claude Jake Smith,>Yes.,>Do President Trump and Chairman Kim Jong-un deserve a Nobel Peace Prize
>Marie-danielle O'reilly,">Excellent question,teacher Sean! By going back to the 19th century. No planes, no cars,no sprays which destroys agriculture , no rockets etc...",>How can we stop destroying Earth?
>BreakingNewsEnglish,>We could stay in the 21st century and all move into the countryside and have big vegetable patches and keep chickens. That would help. But then who would run the Internet?,>How can we stop destroying Earth?
>Marie-danielle O'reilly,">Excellent subject, teacher Sean!",>Should you need to buy something to sit in a cafe?
>Marie-danielle O'reilly,">In Switzerland, we have the same problems, teacher Sean. Nobody wants to get married and they want only 1 child. Life is too expensive and the war is around.",>What happens to a country that has falling birthrates?
>Claire Mo,">one of the major issues of our century.... so many people still without electricity... But what shall we become if there were big natural - or not -disasters that cut power? what about our technological devices? it's a nightmare when you think over it, isn't it? ",>What would life be like without electricity?
>BreakingNewsEnglish,">If we lose power, or the Internet, we are in trouble!",>What would life be like without electricity?
>Marie-danielle O'reilly,">I LOVE this one, teacher Sean.",>Are cold noodles tastier than hot noodles?
>Lyno Lafriw,>An interesting article many thanks,>Are cold noodles tastier than hot noodles?
>Marie-danielle O'reilly,">...because they are younger than us, teacher Sean. Remember yourself when you were between 0-5 years old. Were you a quiet boy???",>Why do children never run out of steam?
>BreakingNewsEnglish,">I don't think I have changed, Marie. There are many times I have worn my 5-year-old out ",>Why do children never run out of steam?
>شوكولا حسان,>like my name,>How much do you like your country's name?
>Marie-danielle O'reilly,>I love this story and your exercises. Thank you so much teacher Sean. I don’t know this musician. It’s a big surprise. Let’s start right now with my new eyes. I just got a big operation and I couldn’t see for a month and I didn’t have the permission to use my computer. You are the first one on line today.,>Is Kendrick Lamar the greatest rapper of all time?
>BreakingNewsEnglish,>I am honoured Marie.,>Is Kendrick Lamar the greatest rapper of all time?
>Walter Yates,>An Israeli study showed teenagers perform in school better if the start there day after 10am.,>Is it better to be a night owl or an early bird?
>BreakingNewsEnglish,>A school in the UK starts lessons at 1pm!,>Is it better to be a night owl or an early bird?
>Beindeno,>Good,>What happens when we've used up all of Earth's minerals?
>Marie-danielle O'reilly,">Very interesting story, teacher Sean. Thank you!",>How can we make opera and classical music more popular?
>Claire Mo,">I'm sorry but, if I'm not mistaken, the first cheerleaders in the US were male... long time ago, for sure, but it's a matter of fact!",>How important are cheerleaders?
>BreakingNewsEnglish,">Claire Mo thanks for the info Claire. Being British and knowing very little about American Football, it is interesting to be educated about these things. I hope they still say ""Hurrah"" today - I love the sound of that word. Best wishes,",>How important are cheerleaders?
>Marie-danielle O'reilly,>Scary ! Teacher Sean,>How dangerous could another arms race be?
>Rosa-Maria Llavoré,>I think it won't!,>How do you think the universe will end?
>Jason Kolojeski,>u ok hun?,>Should we all have to speak several languages?
>Rosa-Maria Llavoré,">Defending cultural integrity, naturally!",>Should we all have to speak several languages?
>Walter Yates,>That rash that just won’t go away.,>How worried are you about a killer virus spreading around the world?
>BreakingNewsEnglish,>Stop scratching it.,>How worried are you about a killer virus spreading around the world?
>Marie-danielle O'reilly,>Peace on Earth! Finally teacher Sean! Maybe I am too positive...,>How will the talks between Donald Trump and Kim Jong-un go?
>BreakingNewsEnglish,">Fingers crossed, Marie.",>How will the talks between Donald Trump and Kim Jong-un go?
>شوكولا حسان,>l hope peace over the world especially Syria,>How will the talks between Donald Trump and Kim Jong-un go?
>BreakingNewsEnglish,>Me too. I hope Syrian people can live in peace in their country very soon.,>How will the talks between Donald Trump and Kim Jong-un go?
>Marie-danielle O'reilly,">Thank you , teacher Sean! Naturally tourism is a very good thing but to some of people they should receive a minimum lesson how to respect oceans. They think as long I am not home I don’t care about the carnage I am going to make. And the ships we need them for the transportation of food. Very sad!",>Is tourism a good or bad thing?
>شوكولا حسان,>it's great thing but have to a lot of money,>Is tourism a good or bad thing?
>Marie-danielle O'reilly,">The rules are the rules, teacher Sean. We have to obey strongly or tchao you get a bill.",>What are the silliest rules you have to follow?
>BreakingNewsEnglish,">Everyone follows the rules in Japan, but you don't get fined for breaking them. You just get lots of people silently staring at you. I've become good at silently staring at rule-breakers ",>What are the silliest rules you have to follow?
>Ammie Passaway,>abu keita,>How interested are you in ancient treasures hidden under the sand in Egypt?
>Marie-danielle O'reilly,">I don’t know what to say about this act of violence, teacher Sean. It’s so sad that SILENCE is GOLD. It won’t stop guns or no guns. When people desire to kill, nothing will stop them, and they find what they need to hurt ...",>Are guns necessary to protect people?
>Marie-danielle O'reilly,">I don’t think it’s for us, teacher Sean. We are to poor. I was thinking people like Trump and so on...",>What kind of accommodation is best when you go travelling?
>BreakingNewsEnglish,">I like tents, igloos, log cabins, tree houses and 7-star hotels. As long as the pillow is soft ",>What kind of accommodation is best when you go travelling?
>BreakingNewsEnglish,">My next stay in ""travelers"" accommodation will be three nights in a backpackers' hostel in Kyoto, Japan. I'm staying in an-8-bunk dormitory. I just hope the other 7 guys don't snore too loudly. Still... that's much better than a boring hotel room where you never get to meet with or speak to other people.",>What kind of accommodation is best when you go travelling?
>Richman Emmy,>wanderful nice good so we should be came its topic,>Do we need to stop using perfume and toothpaste to reduce pollution?
>Marie-danielle O'reilly,">Thank you ,teacher Sean. If it was myself sitting beside a crying baby for a short trip, I would do everything to make the baby happy with songs or toys . I would certainly not scream at the baby.",">Should people be happy to sit next to a little baby, even if he or she is crying?"
>BreakingNewsEnglish,">Poor little baby. All babies are CUTE, no matter how much they scream, cry or do other things. Their mothers need our support and help in all situations. Babies of the world UNITE.",">Should people be happy to sit next to a little baby, even if he or she is crying?"
>Richman Emmy,>Vital Utabarutse Lydie Ndate Tatiana Queen,">Should people be happy to sit next to a little baby, even if he or she is crying?"
>Marie-danielle O'reilly,">Believe it or not, teacher Sean, before my brain attack, I couldn’t draw a thing. It was my worst mark at school. After the attack, I could draw incredible things with chalk with my left hand and I am right handed. Doctors can’t understand why. Today, after 5 years, I am not able to draw anything again. Don’t ask me why!!!",>How important is being able to draw?
>Marie-danielle O'reilly,">Kids hate uniforms. And spending 730 dollars for 1 uniform is completely ridiculous and on top of that, you need 2 uniforms for each child. And what about a family who has 2 or 3 children??? Stupid completely stupid...",>Should school uniforms be as cheap as possible?
>Marie-danielle O'reilly,">I don’t worry about the end of the world, teacher Sean. ..because all I know it will end one day anyway. What I am scared the most, it is this two Presidents  one from USA and the other one from North Korea will push the red bottom. That would be a stupid end...don’t you think so teacher Sean.?.???",>Do you ever worry about the end of the world?
>BreakingNewsEnglish,">It would be stupid, but it won't happen.",>Do you ever worry about the end of the world?
>Marie-danielle O'reilly,">Very interesting story, teacher Sean! I am waiting for them when they will be on the market.",>Would you like to eat banana skin / banana peel?
>BreakingNewsEnglish,>Me too. I love bananas.,>Would you like to eat banana skin / banana peel?
>Lyno Lafriw,>please have a look at my other messages,>How far would you go to buy your favourite food?
>BreakingNewsEnglish,>I'll reply soon ,>How far would you go to buy your favourite food?
>Marjorie Mark Rothenberg,>This was a great topic for our class. We even had a Nutella break!,>How far would you go to buy your favourite food?
>BreakingNewsEnglish,>I know that feeling.,>How far would you go to buy your favourite food?
>Marie-danielle O'reilly,">Great choice! Thank you , teacher Sean.",>Will the Winter Olympics help bring peace between the Koreas?
>BreakingNewsEnglish,">Thank you, Marie.",>Will the Winter Olympics help bring peace between the Koreas?
>Halan Bastos,">Thanks buddy, you're the best!",>What is the world's best tourist destination?
>Marie-danielle O'reilly,">Thank you, teacher Sean for this very interesting article, I am thinking about you right now. Your brain needs a lot of holidays because as a teacher you probably work, work, work...I wonder how you do it! Because what I get from you it’s rich in ideas and very long and always interesting. It takes me 2 weeks to do 1 article.",>How useful are to-do lists?
>BreakingNewsEnglish,">I write lots of to-do lists, Marie. That way I get an extra 9 minutes sleep every night and get all my tasks done ",>How useful are to-do lists?
>Marie-danielle O'reilly,">In the end, they will have to use drones to deliver parcels, teacher Sean. I love this article. Don’t worry, they are going to invent something new and funny. ",>How can cities cope with millions more online deliveries?
>BreakingNewsEnglish,>But then what happens when the drones cause gridlock in the sky? Or when the drones can't find a parking space?,>How can cities cope with millions more online deliveries?
>Marie-danielle O'reilly,">According to the philosopher Nostradamus, 2018 will be a catastrophic year with the Mountain «  Vesuve «  in Italy , and Earthquakes around the world and a judge rock falling on Earth and , and the Economy will go down the drain and President Trump will be fired and...but for me and I hope for you teacher Sean as long as I am able to study English I am HAPPY.",>What are your hopes and fears for 2018?
>BreakingNewsEnglish,>Nostradamus has been wrong many times. And who could fire Pres Trump?,>What are your hopes and fears for 2018?
>İbra Nation,>Farst of all i fear to fail in my ambitions,>What are your hopes and fears for 2018?
>BreakingNewsEnglish,>Good luck. I hope you succeed.,>What are your hopes and fears for 2018?
>Lyno Lafriw,>happy new year sir,>How good would the world be if we never used fossil fuels?
>BreakingNewsEnglish,>Thank you. A Happy New Year to you too.,>How good would the world be if we never used fossil fuels?
>İbra Nation,>God bless you,>How good would the world be if we never used fossil fuels?
>Marie-danielle O'reilly,">I agree with the professor Tom. Excellent research, teacher Sean! Merry Christmas to you and your family! You have a adorable daughter. ",>What do you think of singing in groups?
>Marie-danielle O'reilly,">I love this one. Teacher Sean, if I tell you what I ",>Are we what we eat?
>BreakingNewsEnglish,">Sweet, lovely, healthy, kind and good fun ",>Are we what we eat?
>Marie-danielle O'reilly,">Teacher Sean, don’t ",>Do aliens exist? What would you ask them?
>BreakingNewsEnglish,>Marie. It's me. I am from the planet Tharg.,>Do aliens exist? What would you ask them?
>BreakingNewsEnglish,">I come in peace and hope all Earthlings will increase their English vocabulary. One day, I might start the website ",>Do aliens exist? What would you ask them?
>İbra Nation,>I believe at this time social media is good to me,>Is social media a good or bad thing?
>Pi Trường,>Tuyết Sang,>What is climate change doing to polar bears?
>Marie-danielle O'reilly,">I had tears in my eyes, teacher Sean. I couldn’t watch a second time.",>What is climate change doing to polar bears?
>BreakingNewsEnglish,>It is very sad. I hope things change in the world.,>What is climate change doing to polar bears?
>Marie-danielle O'reilly,">For me, he is a legendary personality. For the children, he is funny because of   ",>What do you think of Santa Claus?
>BreakingNewsEnglish,>I still believe in him Marie ,>What do you think of Santa Claus?
>BreakingNewsEnglish,>And Santa Claus. I'm hoping he will see I have been a good boy this year and put a new Apple MacBook Pro in my stocking.,>What do you think of Santa Claus?
>شوكولا حسان,>war makes horrible things,>Why isn't the world doing enough to stop slavery?
>BreakingNewsEnglish,>Agreed. And there are so many wars and so many horrible things.,>Why isn't the world doing enough to stop slavery?
>İbra Nation,>I think is not good idea to me,>What do you think of robots that look and feel like humans?
>Marie-danielle O'reilly,">And you could add, violence against men also...",>What can we do to reduce violence against women?
>Marie-danielle O'reilly,">Very interesting subject, teacher Sean! Thank you!",>How big a problem is light pollution?
>Sonko James,">Congs, may God grant U more blessed years.",>What is the secret to staying married for 70 years?
>Atiq Mansur Noyeem,>still green!!!  ,>What is the secret to staying married for 70 years?
>Marie-danielle O'reilly,>I really love ,">How difficult is it to stop children watching TV, tablets or mobile phones before bedtime?"
>Tooryalai Samadi,">I love English news, I speak English but not very well",">How difficult is it to stop children watching TV, tablets or mobile phones before bedtime?"
>Marie-danielle O'reilly,>They are able to eat the wires inside and outside the house. They love to do that teacher Sean. Like in ,>What damage can animals and birds do to the Internet?
>BreakingNewsEnglish,>I lived in a place that was a similar size to the one in the article - It only became a problem after I went crazy book shopping and I had run out of space to put them. I moved to a 2-bedroom apartment. It has small rooms but felt like a palace ,>How much space do you need to live in?
>Marie-danielle O'reilly,>I really picture you surrounded by books. ,>How much space do you need to live in?
>Marie-danielle O'reilly,>No! You have to be a Swiss resident.,>Should non-residents be allowed to buy houses in your country?
>Marie-danielle O'reilly,">Teacher Sean, we should all stay the beautiful way God created us. Don’t you think think so?",>Should we all stick to our natural hair colour?
>BreakingNewsEnglish,">I think you're right Marie. I'm happy with no hair - I save lots of money by not having to buy shampoo, conditioner, hair dryers, hair gel, hair spray and hair dye. I just need a woolly hat so my head doesn't freeze in winter ",>Should we all stick to our natural hair colour?
>BreakingNewsEnglish,>Walter Yates Now I know why I have so much energy and love on sunny days ,>Should we all stick to our natural hair colour?
>شوكولا حسان,>it's great,>What is wrong with having dual citizenship?
>شوكولا حسان,>impossible,>How can we reduce pollution levels?
>BreakingNewsEnglish,">Sadly, I think you are right.",>How can we reduce pollution levels?
>Rajesh Nair,>U mean to say that PMs aircraft need not require maintanence. It,">A total of Rs 1088.42 crore was spent on maintenance of the Prime Minister's aircraft and Rs 387.26 crore on chartered flights during the period between June 15, 2014 and June 10, 2018"
>Umesh Unnikrishnan,>He kept his word....ACCHE DIN came.....but only for him ,">A total of Rs 1088.42 crore was spent on maintenance of the Prime Minister's aircraft and Rs 387.26 crore on chartered flights during the period between June 15, 2014 and June 10, 2018"
>Shamira Ariff,>Nothing wrong in the advertisement ,">Kalyan Jewellers rejected the allegation, saying it was 'pure fiction'"
>Nikhil Khajuria,>Nakul Singh Jamwal kudi dekh,">Kalyan Jewellers rejected the allegation, saying it was 'pure fiction'"
>Ravi Pratap Singh,>Apna yahan ke log bahut velle hain,>Suhana faces the brickbats again!
>Md Saquib Sheikh,>Bakchod admin kitna thusha hai ye post ke liye,>Suhana faces the brickbats again!
>Mohammed Abdul Firdous,>People of county watching your drama.,>A Sena source said the earlier whip was issued “by mistake” and it has been recalled 
>Sandeep Sunny,>Bal Thackeray Saab you had given us a Big fool.. Shiv Sena will get simply zero if they support no confidence motion..,>A Sena source said the earlier whip was issued “by mistake” and it has been recalled 
>Sagarika Sb,>Sad. Shame on haryana government.,">The Haryana govt had turned down Major Karamjit Singh Yadav's application, stating that the incident had occurred 'during peace time'"
>Amos Mukherjee,>What's viral in this?.This is not new and even you get pencils like that.,>Abdurahiman said he came up with the idea as he did not want to burden the environment further
>Hilal Naik,>Bjp is less educated then congress,>Shashi Tharoor had attacked the government saying there was a 'significant gap' between the government’s rhetoric and action
>Rajdeep Ghosh,>Its pretty funny a railway platform vendor magically understands every accent in the world.,>Shashi Tharoor had attacked the government saying there was a 'significant gap' between the government’s rhetoric and action
>Er Ankit Chauhan,>What is modi's age though?,>This is the biggest single-day fall since May 29 and goes hand in hand with a stronger US dollar
>Salman Shaik,>Chalo shuru hogaya chai waale kaa kamaal,>This is the biggest single-day fall since May 29 and goes hand in hand with a stronger US dollar
>Motilal Labroo,>It is bad move by this incompetent  govt,">The amendments, if cleared, will give the govt powers to fix tenures, salaries as well as other terms and conditions of service of information commissioners at the CIC"
>Suresh Kp,>Congress unnecessarily creating confusions in the mind of voters.,">Countdown begins for trust vote, battle lines drawn, strategies finalized. Govt's big move to pin down the Opposition. Trust vote game plan: Revealed on "
>Shridhar Mahishi,>Truth will rein ! They can move earth &amp; heaven ! Still they cannot  win  !,">Countdown begins for trust vote, battle lines drawn, strategies finalized. Govt's big move to pin down the Opposition. Trust vote game plan: Revealed on "
>Pravat Ranjan Panda,>In 2019_24 once again pm.modi will be repeated. RaGandi and SonGandi dynasty family gangs looters scammers must be dissolved,>Congress claimed that this is the first time in the history of India that a 'Prime Minister been found complicit in gaining 'false evidence' against opposition leaders to seek revenge'.
>Bijoy K Roy,">Every Indian convinced that Antonia Edvige Albino Maino is involved in the Italian Augusta Scam. As the investigation agencies tightening the screws, the accused is shouting ""victim""  ploy as does by every tainted.",>Congress claimed that this is the first time in the history of India that a 'Prime Minister been found complicit in gaining 'false evidence' against opposition leaders to seek revenge'.
>Sumita Deb Sarkar,>Shame,>Father Abraham Varghese said there were several discrepancies in the woman’s statement before the church and the crime branch
>Showkath Ali Baig,">Nothing will happen, the govt has got numbers, but at the same time it's shame on the govt.",>The regulator also asked telecom operators to ensure that commercial communication takes place only through registered senders
