commentor,comments,news
>New Japan Pro News Feed - English,">Goto will likely be retired by the time we see ""the next Okada"".",">I never got around to publishing an official G1 prediction post, but these comments from 10 weeks ago are holding up pretty well."
>Patrick Barker,">Calling it now, Tama Tonga will win the G1 and challenge Kenny Omega afterwards.",">""I'm tired of sitting back and watching. Cuz ya know what? The Elite? FUCK EM. New Japan? FUCK EM! Okada's pants? FUCK EM TOO."
>Joseph San Martín,">Yeah, fuck Okada's pants! What have they ever done for us?",">""I'm tired of sitting back and watching. Cuz ya know what? The Elite? FUCK EM. New Japan? FUCK EM! Okada's pants? FUCK EM TOO."
>Joseph San Martín,">Page is close with the Elite, so I'm not surprised here. What I wanna know is who Yujiro and Taiji are gonna side with.",">""I didn't think Fale would jump me from behind like a little bitch, he doesn't need to, he's big enough to not need to. He could have just fucking wrestled me. But he's an 'OG'. He's with Tama. He's with the guys who still think it's 2015, who still think they're buddies with AJ Styles and Karl Anderson. "
>Steven May,>Real OGs > fake Bullet Club,">""I didn't think Fale would jump me from behind like a little bitch, he doesn't need to, he's big enough to not need to. He could have just fucking wrestled me. But he's an 'OG'. He's with Tama. He's with the guys who still think it's 2015, who still think they're buddies with AJ Styles and Karl Anderson. "
>Daniel Laurent,>Okada needs a straight jacket. Who the hell yells Scooby Dooby Do on a crossbody?!,">""So, yesterday, Jay, I'll forgive you because we are teammates. Lucky for you, isn't it? "
>Malumbano Mubita,">After what he said and done, I can't believe he still consider's him his teammate",">""So, yesterday, Jay, I'll forgive you because we are teammates. Lucky for you, isn't it? "
>Joseph Chaplin,">Tama had his chance to prove that he's a main event worker with Juice. The first match of his third G1 run, coming off a terrific angle in America and Juice proving how amazing he is against Jay. Tama failed. He hadn't changed up his attitude. He barely acts anymore seriously than in his last two G1s. He's never going to be at the main event level.",">""So, yesterday, Jay, I'll forgive you because we are teammates. Lucky for you, isn't it? "
>Zachary Shiloh,>Omega is full of shit... He got the nerve to clown Naito for losing at WK back in January. I remember the now IWGP Heavyweight Champion losing to who he had to beat in 2 falls. Poor Kenny.,">""So, yesterday, Jay, I'll forgive you because we are teammates. Lucky for you, isn't it? "
>Jonathon Avalos,>lmao all l heard was Naito chants on night 2 but ok whatever makes you happy!!,">""So, yesterday, Jay, I'll forgive you because we are teammates. Lucky for you, isn't it? "
>Scotty Kolich,>I mean its obvious isnt it?  Omega vs yano Jan 4,">""Everyone that speaks English--I know there are a couple of you out there--you guys are watching this G1, I'll be honest, this is a secret I'm gonna share with each and every one of you; every match today in the B Block was exciting, every match was great. We've got such good variety, so I don't care if you actually think your favorite match was someone else's. "
>Ethan Rosen,">Literally just watched this while I was catching up on the G1. Kenny is the best storyteller, wrestler and promo today nobody touches him.",">""Everyone that speaks English--I know there are a couple of you out there--you guys are watching this G1, I'll be honest, this is a secret I'm gonna share with each and every one of you; every match today in the B Block was exciting, every match was great. We've got such good variety, so I don't care if you actually think your favorite match was someone else's. "
>Steven May,">Ibushi vs Switchblade in the final, you heard it here 7th.",>Both achieved key victories on night 1. 
>Zachary Shiloh,>I wouldn't be surprised if White won. I can see Tana putting this little shit over. White did lose to Tana at WK. So it does make sense..,>Both achieved key victories on night 1. 
>Zaire Lane,">Anytime I see Jay White, the only thing that comes to mind if the incident with JR last week, I hope he is ok",>Both achieved key victories on night 1. 
>Eyad Assil,>He has lost his mind,>Both achieved key victories on night 1. 
>Zaire Lane,>I hope they main event WK 13,>What's yours is mine. Change the world.
>Chuy Carequinha,>Boooooooooo,>What's yours is mine. Change the world.
>Carrie Dunn,>Whoever picks Kenny started watching in 2016 at the earliest,>Who's side are you on?
>New Japan Pro News Feed - English,>Been a Golden Lovers fan since DDT so that's just me being loyal.,>Who's side are you on?
>David Majors,>I'm with Tama.,>Who's side are you on?
>James Sweet,>Is noone seeing this angle has been done really like a million times it's designed to put Tama into star status even if Kenny doesn't put him over he's going to make him look like a star in the end Tama is on his way to main event status it's been brewing for a year now,>Who's side are you on?
>New Japan Pro News Feed - English,>Mostly because I just don't think the Japanese fans connect with Tama in a way that leads to him ever being a real draw.,>Who's side are you on?
>BC Carraskiyo,>This confirms to me that Kenny gave no f-s about the Bullet Club.,>Who's side are you on?
>Joseph Chaplin,">Some kind of Suzuki/Omega match would be amazing, especially if they did it in a big UK show. ZSJ and Suzuki could both do massive UK shows with Kenny.",>Who's side are you on?
>New Japan Pro News Feed - English,">But man, if you're opinion is that the match ""sucked"" then, wow I don't really even know what to say.",>Who's side are you on?
>Ethan Rosen,">It is so hard not to like Suzuki, he’s just a tough old vet who beats the shit out of guys. He beats the crap out of the young lions and stretches them out for his workouts.",>Who's side are you on?
>Danowar Healy,">So I take it when NJPW wasn't seen as such a big deal and AJ defended the IWGP heavyweight title for the first time in Europe, let alone first time in England back in 2014 against Doug Williams doesn't count?",">""After I tap out every dickhead in this Block, and then whichever special dickhead is in the Finals... I'll win the G1 CLIMAX as the first English man, just like I was the first English man to win the New Japan Cup, then I want my title match in England. The first ever IWGP Heavyweight title match in England. And when I win that, I'll enter the Tokyo Dome, as Champion."""
>Zaire Lane,">ZSJr is legitimately dangerous, I'd be scared to face him",">""After I tap out every dickhead in this Block, and then whichever special dickhead is in the Finals... I'll win the G1 CLIMAX as the first English man, just like I was the first English man to win the New Japan Cup, then I want my title match in England. The first ever IWGP Heavyweight title match in England. And when I win that, I'll enter the Tokyo Dome, as Champion."""
>Marie-danielle O'reilly,">Very interesting article, teacher Sean! Thank you!",>What do you think of the colour pink?
>Marie-danielle O'reilly,">I love that story , teacher Sean. I wouldn’t be scared because I know how to swim. But, I am claustrophobic.",>How scary would it be to be trapped in a cave?
>BreakingNewsEnglish,>I think it would be terrifying - the poor children can't see - it's pitch black. Praying for their safe rescue.,>How scary would it be to be trapped in a cave?
>Marie-danielle O'reilly,>Bravo China!,>Do movie stars deserve to get multi-million-dollar salaries?
>Demmy Andrio,">No, they don't....scientists, academics, researchers, doctors, astronauts, pilots, teachers ",>Do movie stars deserve to get multi-million-dollar salaries?
>Marie-danielle O'reilly,">But, I still think I probably prefer ( Earth)",>What would it be like to live in space?
>BreakingNewsEnglish,>Me too. Perhaps a holiday in space would be nice.,>What would it be like to live in space?
>Sandy  Sandy,">Hi. Thank you for creating this useful website for us learning English. It's brilliant! I not only learn interesting latest things in the world, but also do the different exercises to improve my English. My favourite exercises are The/An/A, prepositions and listen &amp; spelling. Now I am trying to do the challenge one - the dictation, especially the big one!",>What would it be like to live in space?
>Marie-danielle O'reilly,">A very sad truth,teacher Sean!",>What should world leaders do about the refugee crisis?
>BreakingNewsEnglish,>Marie-danielle O'reilly You would make better decisions than most world leaders. Marie for President ,>What should world leaders do about the refugee crisis?
>Marie-danielle O'reilly,">Thank you, teacher Sean! This one made me laugh...We are human...",>How can we stop people upskirting?
>Rosa-Maria Llavoré,">According to Ayurveda, we become adults at the age of 60.",>When do we become adults?
>BreakingNewsEnglish,>Yippee. I'm still a child ,>When do we become adults?
>Marie-danielle O'reilly,">No , because they are going to start the war again. Both men are liars.",>Do President Trump and Chairman Kim Jong-un deserve a Nobel Peace Prize
>BreakingNewsEnglish,>I think we have to keep our fingers crossed that something positive will come of this. It's certainly a huge step forward.,>Do President Trump and Chairman Kim Jong-un deserve a Nobel Peace Prize
>Claude Jake Smith,>Yes.,>Do President Trump and Chairman Kim Jong-un deserve a Nobel Peace Prize
>Roshan Choudhary,>58 BJP MP S WILL ABSTAIN.    IT WILL BE VICTORIOUS FOR US,">While the odds seem to be stacked against the opposition, former Congress president Sonia Gandhi refuted claims that the motion was just a pressure tactic"
>Sunirmal Rakshit,>Impeachment of CJI and no trust motion against a govt.having absolute majority is something like small girls cooking curry in coconutshells in their childhood. Remembering childhood days for Madam Sonia.,">While the odds seem to be stacked against the opposition, former Congress president Sonia Gandhi refuted claims that the motion was just a pressure tactic"
>Karan Keswani,>Mohammad Mosaab Aish ,>No more fleecing of moviegoers.
>Raushan Dev Verman,>i have also cleaned my school nd i m proud of it .,>Shocking!
>Amit Kumar Subudhi,">In Japan , all floors of the school are being cleaned by Students. I find it to be fine as long as teachers teach them properly.",>Shocking!
>Mathew Mattam,>Disgrace.,>Breaking barriers and rules.
>शुभा श्रीवास्तव,>Ab yahi current affairs wale news hain ,>Breaking barriers and rules.
>Jaffer Basha Sharfudib,>Good job sir. Show your political career in this humble way.,>Locals who were present at the spot said that former CM's good gesture helped in getting timely assistance to the injured who were bleeding profusely.
>Sameer Sheikh,>Better than that idiotic Yogi any day ,>Locals who were present at the spot said that former CM's good gesture helped in getting timely assistance to the injured who were bleeding profusely.
>Pt Mahesh Shastri,>नाम_और_उमर_बताकर_जिन्दगी_संवारे जैसे प्रेम-विवाह }}{{ मनचाहा प्यार }}{{ काम-कारोबार }}{{ पति - पत्नी में अनबन }}  ,>What does mother Chopra have to say?
>Himanshu Choubey,>Cradle snatched piggy chopps,>What does mother Chopra have to say?
>Pt Mahesh Shastri,>नाम_और_उमर_बताकर_जिन्दगी_संवारे जैसे प्रेम-विवाह }}{{ मनचाहा प्यार }}{{ काम-कारोबार }}{{ पति - पत्नी में अनबन }}  ,>A 'cheap rip-off'
>Pratik Deepak Shah,>Good he has some time for himself.,>No Salman fans in Dubai?
>Pawan Kalra,>Sahil HariramaniSumeet NarwaniChetan Kewalramani,>No Salman fans in Dubai?
>Himanshu Choubey,>Shame and scandal in the family... as always,">Even after her remarriage with her husband, her father-in-law continued to rape her and when she protested against it, her husband divorced her again"
>Jaffer Basha Sharfudib,>All fake. Stories made. Creative,">Even after her remarriage with her husband, her father-in-law continued to rape her and when she protested against it, her husband divorced her again"
>Anil Srivastava,>haan kar do nahin to irani oil denied. sold indian government.,">If the deal comes to fruition, it would be the first time Washington has sold a large armed drone to a country outside the NATO alliance"
>Vijay Kumar,>Because Kerala would never vote for BJP!,">Coming down heavily on the Centre, Vijayan, in a press conference in New Delhi, had accused Prime Minister Narendra Modi of consistently ignoring Kerala and its demands"
>Abid Beigh,>Arrogance at its peak.,">Coming down heavily on the Centre, Vijayan, in a press conference in New Delhi, had accused Prime Minister Narendra Modi of consistently ignoring Kerala and its demands"
>Syed Suhail,">Yeh video to viral ho chooki hai ab aap esko live kun dikha rahay hain janab, Es lady ko Gow Rakshak Samiti ka Adhiyaksh bana daina chahiye ha ha ha",">A savage murder, a cold-blooded confession, a last cry for help, a tragic end of a life; killed for love; butchered in hate. "
>Navjot Grewal,>Shame on family who asked her to go back and live with these animals even after her attempts to talk to her parents,">A savage murder, a cold-blooded confession, a last cry for help, a tragic end of a life; killed for love; butchered in hate. "
>Rich Gunsolus,">Yes, Israel will continue to take them in and care for the wounded.",">""These people are now trapped between closed borders and between the Syrian government advances."""
>Dustin Hafford,>War Crime charges for Bashar al-Assad and Vladimir Putin.,">""These people are now trapped between closed borders and between the Syrian government advances."""
>Emmanuel Edoh,">It baffles me to see how stupid some people are. How can stating a fact make someone xenophobic ? Hypocrites if you wanna help people seeking for asylum, force your governments to stop igniting conflicts in their countries and systematically looting them.",">""Give me an example, of a multi-ethnic or multi-cultural society, where the original population are still living. [...] And where there are peaceful community relations. I'm not aware of any."""
>Reilly Walker,">Has he never heard of Hong Kong or Singapore? Both have retained their native ethnicities but are multicultural and fairly peaceful. You could even add New Zealand and, to a hopefully increasing extent, Canada to that list.",">""Give me an example, of a multi-ethnic or multi-cultural society, where the original population are still living. [...] And where there are peaceful community relations. I'm not aware of any."""
>Sherry White Williams,>Dobrokhotov?  ,">There seems to be no Russian puppetry involved in what Trump has been doing in recent months, writes Roman Dobrokhotov for "
>Alex Ngobi,>But he's definitely never been one. So this is no surprise news to me! Mr Trump is president and always will be,">There seems to be no Russian puppetry involved in what Trump has been doing in recent months, writes Roman Dobrokhotov for "
>Mahmut Ozturk,>Seviliyorsun başkan Erdoğan,">A state of emergency imposed in Turkey after a 2016 coup bid comes to an end, as the government seeks to pass new legislation to keep in place some of the measure's powers."
>Khadija Hauguel,>Hope one day peace will spread all over the world,">For the first time ever, North Korean films are being publicly screened in South Korea."
>Daniel Paul Duval,>People will post how bad this is because Trump did it. Because what was going on before was what was best.  Peace finally exists between two former enemies and it didn't happen with dead soldiers waving white flags.,">For the first time ever, North Korean films are being publicly screened in South Korea."
>B.j. Bjornen,>Guys that couldn’t get a date in a palm forest,>It's one of the far-right organisations that welcomed opportunities to engage in violence following President Trump's inauguration.
>Kevin Grant,">fascists generally, eventually  end up in front of a firing squad or as in Mussolini's case, hanging from a lamp post in Milan. They really haven't worked out that these things briefly flourish and then are stamp out without mercy - learning difficulties",>It's one of the far-right organisations that welcomed opportunities to engage in violence following President Trump's inauguration.
>Chris Ndubuisi Udigwe,>IDF will destroy it is a matter of time,>The announcement came a month after Supreme Leader Ayatollah Ali Khamenei ordered agencies to prepare to increase uranium enrichment capacity.
>Thzul Thzul,">That's propergand Iran should carry on with it's nuclear weapons business cause with out it it would have been attacked just like Iraq,Libya,Syria so enriche more uranium  they will come back and call u for talks just as they did.For now they know u can they won't attack u cose of consequence love Iran.",>The announcement came a month after Supreme Leader Ayatollah Ali Khamenei ordered agencies to prepare to increase uranium enrichment capacity.
>Constance N Danny Mauricio,>No they are not proceeding.,">""We have no speed limit."""
>Cecily Porter,>how about the US denuclearize?  It's the biggest threat out there.,">""We have no speed limit."""
>Wajahat Khan,">Once China has political grip on world politics ,you will see it's carnivorous teeth(real face) .",>Why is China pledging billions of dollars in aid to the Middle East?
>Tom Mac,>In three months any nation or individual company dealing with IRAN will have trade sanctions put into force against them by the USA. Trump policy. Wonder how China will react,>Why is China pledging billions of dollars in aid to the Middle East?
>Yasin Mostapha,>The returning of Refugees to Greece for the timebeing is not a good solution !,>Some European leaders want to return refugees to Greece. But can its overcrowded asylum system cope with any more refugees and migrants?
>Richard Hussong,">Maybe the decision to take a human life shouldn't be delegated to a person, either. The real problem with mechanical killing machines is not that they are not people, but that they will eventually be cheap, easy to build, plentiful, pitiless, and difficult to destroy - an aggressor's dream.",">""The decision to take a human life should never be delegated to a machine."""
>Tam Del Nekemte,>The EU is a joke. European nations should free themselves of the clutches of the EU.,>The $5bn fine is the biggest anti-trust penalty in EU history.
>Kumar Rinku Pradhan,">Should have done this with Facebook, that data was linked.",>The $5bn fine is the biggest anti-trust penalty in EU history.
>Yasin Mostapha,>Ex - FARC members have become peaceful humanbeings of Colombia ! They must be accepted as ordinary citizens to get integrated easily in society !,>This reintegration camp in Colombia is helping ex-FARC members start a new life.
>Thavasumuthu Rethinasamy,>Originally Colombians are native people of America  .,>This reintegration camp in Colombia is helping ex-FARC members start a new life.
>Al Jazeera English,>Hundreds of Syrians are still gathered along the border between Syria and the Israeli-occupied Golan Heights.  They're being turned away by the Israeli army when they try to approach the fence.,>Twelve Thai boys and their football coach have made their first public appearance since their daring rescue. 
>Al Jazeera English,>What do you think of the thawing of relations between Ethiopia and Eritrea?,>Twelve Thai boys and their football coach have made their first public appearance since their daring rescue. 
>Barbara Bendzunas,">It was far from a miracle.  Lots of good, qualified people came together and spent long hours planning and executing the plan.  It didn't just happen.",">""I had no strength. I tried not to think about food so I didn't get hungry."""
>Michelle Young,>Thank god they safe ,">""I had no strength. I tried not to think about food so I didn't get hungry."""
>Dilagha Pashtonyar,">Al Assad the butchers is freeing 1500 Syrian prisoners just to save his Shia, yet he is saying that his regime is not a sectarian one. remember he is killing Syrian sunnies indiscriminately.",">""What are we going to do with our land and property? Oh my hometown."""
>Muhammad Sohail,>Those busses had shifted ISIS from Syria to Afghanistan under CIA protection.  Now they r preparing ISIS for a big war against pakistan and Iran.  Daiesh r all isreali and CIA agents.  In afghanian India also joined ISIS .,">""What are we going to do with our land and property? Oh my hometown."""
>Royal Joseph,">Good move for Israel, we say  no to terrorism, the people of Gaza should rally against Hamas that is bringing untold suffering upon its people",>Israel is preventing gas and fuel from entering Gaza.
>Ulla Terling,>Stop attacking Israel and Israel will stop attacking you!,>Israel is preventing gas and fuel from entering Gaza.
>Julie Simpson,>This man brought a feuding country together not only that he brought the world to see that this could happen anywhere if you only but try and try again.A icon of the 20th Century.,">On this day in 1918, the anti-apartheid icon Nelson Mandela was born.  "
>Rehana Mahomed,>Apart from being such a great man he was a great human being caring and compassionate No one can ever replace him,">On this day in 1918, the anti-apartheid icon Nelson Mandela was born.  "
>Ruamann Ua Ríagáin,">They're an example to the world, making peace. I wish both countries the best of luck.",">""The fact that we are taking two flights at a time shows the eagerness of the people."""
>Nasir Omer Qalinle,>Thanks two countries have resolution without international intervention Ethiopia prime minister have good discussion while president of south Somalia have no ambition to make two brother countries have equal rights called somaliland country and Somalia country but have friendships an help each other,">""The fact that we are taking two flights at a time shows the eagerness of the people."""
>Siobhàn Kennedy-d'Arc,>Anyone who says lab grown is unhealthy or unsafe. Where do you think medications are made?,">The company claims it could make up to 80,000 burgers from a single sample of cells taken from a live animal."
>Saleem Ahmadzai,>Natural food is thousunds time better than man made poisonous food,">The company claims it could make up to 80,000 burgers from a single sample of cells taken from a live animal."
>Jennifer Heinrich,>.,>Nineteen dead as 
>Ahmad Al-Shehabi,>The story continues,>Nineteen dead as 
>Jennifer Heinrich,>.,>Nineteen dead as 
>Jennifer Heinrich,>.,>First batch of 
>Jennifer Heinrich,>.,>First batch of 
>Jim Board,>This is not the time for the usual passive Democratic response. This is serious.,>Sen. Bob Menendez is calling for the interpreter from the private Putin-Trump meeting to testify before Congress.
>Jay O'Brien,">All American's should turn there backs on trump and the republican's if they love there country and believe it as much as they say. What changed, trump belittling America and raising Russia up to higher standards and for praising Russia only? Isn't that right trump? That must be it, I don't see any American's protesting against it, my God, what has America become.",">Former NATO Supreme Allied Commander James Stavridis calls the alliance, “the largest defense budget in the world.”"
>Craig Moffett,>America pays more than 75% so it's not.,">Former NATO Supreme Allied Commander James Stavridis calls the alliance, “the largest defense budget in the world.”"
>Teresa Mac,">Trump spent the morning tweeting sweet tweets about Putin.  At a meeting, he answered ""No"" when asked if he believed that Russia hacked us.  By the afternoon press conference, Sarah Sanders was telling everyone that they ""misunderstood"" him when he answered.  This has reached new heights of absurdity.  This is whiplash to the extreme.",>The President's rhetoric on Russia keeps changing... 
>Sherry Brinkley,>These people are still supporting Trump. Let the tariffs play out and let the chips fall where they may.  Big Agra will step in and take over their farms   The displaced farmers may be able to find employment at McDonalds.  This is what they voted for.,">""Our message is we need to get these trade issues resolved…because we’re hurting out here economically.”"
>Patti LoRusso Casazza,>Trump doesn’t care about farmers. Trump doesn’t care about anything or anyone except himself. Why do you vote against your own interests?,">""Our message is we need to get these trade issues resolved…because we’re hurting out here economically.”"
>Doreen Bourdeau,>Just release them all to the public.  ,">Tim O'Brien, a reporter who has seen President Trump's tax returns, tells Lawrence O'Donnell the information in the tax returns may shed light on Trump's relationship with Vladimir Putin."
>Carol Cyrus,>I can’t believe Trump hasn’t been arrested for treason. That is what Congress is responsible to do! The fact they aren’t already speaking to Americans about it shows they too are involved.,">Tim O'Brien, a reporter who has seen President Trump's tax returns, tells Lawrence O'Donnell the information in the tax returns may shed light on Trump's relationship with Vladimir Putin."
>Doug Frakes,>I'm surprised 45 and his cult members haven't found his grave and pissed on it while toasting Putin...,>Velshi and Ruhle honor a special intel officer as their Monumental American after President Trump's affronts to the intelligence community.
>Stuart Kiehl,">All of you: STOP USING THE WORD 'MEDDLING"" The Russians call it an ""information war"" Use the word ATTACK. Was Pearl Harbor meddlesome?",>What defines being ‘American’ in Trump era?
>Julia McCarthy,>Why did Justice Kennedy suddenly retire ?,">In 2006, Judge Brett Kavanaugh said he believes the legal precedent that allows for independent counsels to investigate government officials for federal crimes should be overturned."
>Arthur Sitko,>The Democrats want to start a WAR so they can blame President Donald Trump let me ask you forget about this collusion nonsense which is better WAR or Talking? this President has chosen to talk = like it or not = it is working. ARE WE AT WAR?? = = = = NO!  Vote All Democrats out in NOV. And SAVE the United States Of America!!,">""I think there is a very high likelihood, as Director Coats said, that there’s going to be efforts to meddle and interfere."""
>Ede Favata,>And our do-nothing Congress will make sure that the Russians have a clear path to continue with their interference,">""I think there is a very high likelihood, as Director Coats said, that there’s going to be efforts to meddle and interfere."""
>Vince Abraham,>Why would Trump trust the Intelligence agency?   It is 95% corrupt with 8 years of Obama's puppets trying to take him down.,">Despite his Monday comments, Trump now claims to have ""full faith in our intelligence agencies."" But do they have full faith in him? -- Steve Benen asks"
>Cindy Pace-Kennedy,">Those midwest farmers are going to lose billions... when you vote against your best interest, this is what happens",>President Trump's trade policy has caused some countries to leave the U.S. out and cut new deals.
>Karen Johnson,">Just think, Six (6) years ago today the biggest scandal and crisis was the President of the United States wore a tan suit.",>President Trump's trade policy has caused some countries to leave the U.S. out and cut new deals.
>Jennifer Kaup,>I don't know how S.H.S. goes home at night and tries to instill values in her own kids when she stands in front of the country and regularly lies for 45.  It's hard to watch.  She must think we're all a bunch of morons.,>WATCH: Hallie Jackson questions Sarah Sanders about the president's credibility following mixed messages from Trump on Russian election meddling.
>Jack Gillis,>The President speaks Simple English and doesn’t need an interpreter! Any intelligent person knows what he said and meant . Changing one word doesn’t change the whole jist of his answer.,>WATCH: Hallie Jackson questions Sarah Sanders about the president's credibility following mixed messages from Trump on Russian election meddling.
>Julie Koranda,>Why does the media enable her poor behavior towards them?  When she is rude to one of them why don't they stick together and walk out? She never says anything meaningful anyway!!,>Reporter: Does this White House believe that currently this threat from Russia is ongoing?
>Karen Miller Rhodes,>Save yourself Sarah Slanders ....jump ship !   How long can you continue to lie and cover up for this deplorable administration ,>Reporter: Does this White House believe that currently this threat from Russia is ongoing?
>Raymond Kevin Bassford,>When her gig is up at the White House she’ll be lucky if Walmart hires her to stock shelves from midnight to 6am.,>LIVE: White House press briefing.
>Christine Boucher,>I don't think it's appropriate to comment on her looks and appearance. Who cares what she looks like. The fact that she lies for her boss and to the American people is horrible enough.,>LIVE: White House press briefing.
>Brian Bard,>The GOP has for decades worked to repeal and replace our democracy with a plutocratic oligarchy. They see treason in support of Putin's Russian plutocracy as their best path to that goal. The GOP is infested with traitors. ,">Given recent developments, Trump should probably go out of his way to endorse the intelligence community's findings. And yet, he can't seem to help himself. -- Steve Benen"
>Rebecca Garay-Leon,">President Treason really just can't help himself, can he?",">Given recent developments, Trump should probably go out of his way to endorse the intelligence community's findings. And yet, he can't seem to help himself. -- Steve Benen"
>Brenda Gregoire Guest,>Because they are Feckless Flaccid D****!! The facts are overlooked yet again with Republicans that chose to spend Independence Day in Russia!!,">""I see an appetite to just, you know, send out a tweet, put out a, 'I'm very disappointed'-like statement, but not to actually use the vote that we have."""
>Bron Taylor,">Great! If they won't talk without it, give it to them. Manafort KNOWS Trump colluded because he helped him do it. Anything that gets him to talk is good.",">Robert Mueller is asking for immunity and anonymity for five witnesses slated to testify in the upcoming trial of former Trump campaign manager, Paul Manafort."
>Dan Daniels,>I’ve maintained that in order to still be a republican in 2018 you must have at the very least a personality disorder developed by sustained trauma due to angry or cold uncaring parents. Authoritarians attract people who are used to being told how to behave or else. They crave leaders who make decisions so they don’t have to.  Show me a republican in 2018 and I’ll show you someone with mommy and/or daddy issues,>A Republican Arizona state Senate candidate has shocked gun control advocates by sharing details about shooting and killing his mother in apparent self-defense more than 50 years ago.
>Kristin Willard,">Why does this story make me think he was possibly abusing his sister, his mom found out and went crazy on him, so he killed them both and covered it up with a fire?",>A Republican Arizona state Senate candidate has shocked gun control advocates by sharing details about shooting and killing his mother in apparent self-defense more than 50 years ago.
>Tom Salerno,">Can we just impeach him now and declare his entire candidacy invalid, and hold another special election for the presidency during the midterms??",">During a cabinet meeting, President Trump said ""no"" when asked ""Is Russia still targeting the U.S.?"""
>Mocha Leeshus,">Wake up people, trump will never ever admit that Russia has done anything wrong. He will always defend Russia and tear down America. I smell civil war a brewing...",">JUST IN: President Trump said ""no"" when asked by reporters if Russia is still meddling in U.S. elections. "
>Sam Risby,">I was there for 8 days, 3 cities and 4 games. The average Russian was friendly and welcoming, and suprisingly supporting England. Had a great time.",>Russian minister claims England fans were 'frightened away from 
>John Reay,">Lets be in no doubt, Russia has a football hooligan problem (just like UK).  The ringleaders have clearly been warned of the consequences if they had disrupted the WC. Not a bad result, shame we cant say the same over here!",>Russian minister claims England fans were 'frightened away from 
>Taylan Oran,>I'm just sad about that diver that died. He barely got any coverage.,>Rescued Thai cave boys describe their 'miracle' escape
>Gemma Lee Corcoran,">Gah! I love Jeremy Corbyn, he is not any of them things he has every right to not find that acceptable! X",>Jeremy Corbyn will take action against a senior Labour MP who branded him an 'anti-Semite' and a 'racist'
>Vee Jones,>This is to be expected of a petty vindictive Corbyn,>Jeremy Corbyn will take action against a senior Labour MP who branded him an 'anti-Semite' and a 'racist'
>David Roland Latham,>Will we recieve foreign aid for this?,>Two earthquakes have hit Surrey in the space of 10 hours
>Sean Tyson,>Any fracking been done around the area? Happened in Blackpool when they tried there if I remember,>Two earthquakes have hit Surrey in the space of 10 hours
>David Birds,">Thought he speech was excellent, leadership quality, would rather him in charge than Teresa May , as  we're going down the toilet and becoming a laughing stock,",>Boris Johnson MP declares 'It's not too late to save Brexit'
>Karen Falch,>Anti immigrant Boris Johnson whose great grandfather was Turkish and maternal grandfather and great grandfather were Russian....Have you figured out the Russian influence via Cambridge Analytica on the Brexit vote yet?,>Boris Johnson MP declares 'It's not too late to save Brexit'
>Paul Bradley,">Boris, Jacob Rees-Mogg or Steve Baker Should be the next PM of the Conservatives as True Brexiteers. The White Paper is going into the Thames.",>Theresa May contends with more anger over 
>Nancy Taylor,>She is the Queens Grandaughter at the end of the day you unpatriotic  bunch of people,>Princess Eugenie and her future husband invite you to their party...
>Louise Tyson,>Not sure why people have to be unpleasant she’s a beautiful girl and well done to them for inviting normal people,>Princess Eugenie and her future husband invite you to their party...
>Karen Fish,">Labour leading in the polls, time for antisemitism smear to be rolled out by the Blairites and Cons. Getting boring now",">Jeremy Corbyn will take action against a senior Labour MP who branded him an ""anti-Semite"" and a ""racist"""
>Andy Coates,>Take action against her for teling the truth! Sad state of affairs in this country when speaking the truth is frowned upon,">Jeremy Corbyn will take action against a senior Labour MP who branded him an ""anti-Semite"" and a ""racist"""
>Colin Andrew,>I am no great fan of Cliff Richard but the man has been treated abominably by the police and BBC. His damages payout is very small and if I were him I would appeal.,">The High Court judge said the BBC had infringed the celebrity's privacy rights in a ""serious and sensationalist way"""
>Jamison Scott,">Mmm always wonder about this guy, I have my suspicions, I just wonder",">The High Court judge said the BBC had infringed the celebrity's privacy rights in a ""serious and sensationalist way"""
>Carrie Ann Molloy,>That beach is my idea of hell..... ,>It's hot
>Simon Hughes,>Thank you for letting me know it’s hot. ,>It's hot
>Leo Durkin,">Don’t pay it, starve the EU project of funds.",>The fine is the largest penalty ever imposed by the European Commission
>Kevin Melve Rowlands,>Just trying to recoup some of the British money they will eventually lose.,>The fine is the largest penalty ever imposed by the European Commission
>Paul McKenna,>Rubbish my daughter's 11 she watches YouTube from getting home from school to going to bed and all day weekends,>Nearly half of UK households have at least one subscription to an on-demand service
>Mathew Hodgson,">Better than seeing whos tractor gets stolen in emmerdale, dont see the issue",>Nearly half of UK households have at least one subscription to an on-demand service
>David Maughan,">Don't forget the wine, the coconuts, spaghetti and all the other load of rubbish, every thing worked perfectly well before the EU, every thing was cheaper before the EU and BRITISH farmers kept ENGLAND fed.",>Nearly half of UK households have at least one subscription to an on-demand service
>Caroline Logie,>How on earth did we as a country manage to feed ourselves before we joined the common market as it was originally known?????,>Nearly half of UK households have at least one subscription to an on-demand service
>Leo Durkin,>It wouldn’t even make a dint in Jupiter.!,">Astronomers have discovered 12 new moons orbiting Jupiter, bringing the total to 79"
>Chris Machin,">Reminds me of the 10 green bottles standing on a wall, if 1 should accidentally fall there would be 9 green bottles.",">Astronomers have discovered 12 new moons orbiting Jupiter, bringing the total to 79"
